tweet,location
Brain. Free. Zone. https://t.co/TGLJ93pMD3,"Urbana, IL"
"Why not have guns everywhere?

No more target rich environments. https://t.co/NkdRSyblln","Columbus, OH"
"Trump right after the Parkland shooting: the age to buy these guns should be 21.

Trump now:
Psych!","Columbus, OH"
"Sofia and I have been re-watching Seinfeld from the pilot forward.

“The Limo” came around last night. The episode is centered around Neo-nazis, white-supremacy, anti-Zionist conspiracies, hate rallies, violent protests, and guns.

”The Limo” aired in February, 1992.","San Diego, CA"
I couldn’t agree more! #neveragainmovement #ParklandShooting #marchforourlives https://t.co/8t0qf3rkA4,"Highland Beach, FL"
Imagine that https://t.co/F2DyRjpqxq,"Boynton Beach, FL"
"@LouiseWhilde @lockedmith @Lt_Fedora @Colleen54737287 You shouldn’t give away your rights so easily. When you give away one they just take another. Ask the UK. They gave up guns, now they are limiting their free speech. What’s next?","North Augusta, SC"
HaHa running over herself backpedaling. This is amateur hour. https://t.co/wenMkJZDu2,"White Bear Lake, MN"
@realDonaldTrump @JAP5617 21 will help right????????????? lmaooooooooo Liberals. Take their guns away problem Ends..,"Houston, TX"
You forgot she is also dumb as a box of rocks there's that too https://t.co/At1cf4b0P4,"Texas, USA"
"There shouldn’t be metal detectors to enter schools, there shouldn’t be security guards patting you down. It’s a learning environment, not a prison!!! The problem is the current gun laws, not the schools.","Upland, CA"
$30 million donated to NRA from Russian mother.......! https://t.co/ae2hKrh2ak,"Corbin, KY"
Never thought we’d find ourselves thinking @FLGovScott has more leadership skills than @realDonaldTrump. Guess @POTUS is afraid of @NRA! #Sad #MarchForOurLives https://t.co/c1YqRmOqZV,"Los Angeles, CA"
"@NRATV @dbongino Law-abiders that TURN criminal/snap &amp; go Undetected as such easily &amp; legally obtain assault weapons (used 75% of the time in public mass shootings where no one stands a chance/is totally outgunned).Non assault guns r guns of choice for defense &amp; hunting, according to gun experts.","Springfield, IL"
"https://t.co/kYZXyIiAGR --BREAKING NEWS--""2ND AMENDMENT CAUCUS"" [ 13 CONGRESSMAN ] Taking Orders From NRA &amp; Not Representing Constituents--Read News Break In Spill Bean Blog Information On SUPREME COURT Upheld Positions on GUNS [ Court Information Not Mentioned In Media-WHY? ]😠 https://t.co/YM6NjbujOT",United States
@edchoice #schoolchoice https://t.co/cVlufNDRdq,"Kentucky, USA"
"This was a sitcom, mind you. https://t.co/UhVfdnk5TJ","San Diego, CA"
"Nice job @POTUS, you just summed up why you hold rallies!

""Cowards will only go where there is no deterrent""

@DMRDynamics @docrocktex26 @DrGJackBrown @DrDenaGrayson @TheRickWilson @funder @TheRickyDavila @MelissaJPeltier @duty2warn @Redpainter1 @RedTRaccoon @TeaPainUSA https://t.co/bucUaAFtzI","Manhattan, NY"
"@ChuckNASCAR Law-abiders that TURN criminal/snap &amp; go Undetected as such easily &amp; legally obtain assault weapons (used 75% of the time in public mass shootings where no one stands a chance/is totally outgunned).Non assault guns r guns of choice for defense &amp; hunting, according to gun experts.","Springfield, IL"
@Ilovecats84 @LouiseWhilde @lockedmith @Lt_Fedora @Colleen54737287 Give them all up to the government. Give them total control of your life. Guns give us control so they don’t run our lives. Not sure why you can’t see that. It’s the only leverage we have over the government.,"North Augusta, SC"
"Phil, this seems really uninformed on who Eminem is. He’s been anti-government since the beginning. The lyrics you used to discredit him speaking out on gun control are blatant sarcasm. You can write better than this. @philwitmer https://t.co/2xYTcI1Tgx","Oldsmar, FL"
Get 'er done fake president @realDonaldTrump https://t.co/DJVu5TN6Co,"Dallas, TX"
@MichaelHogan60 @n6ki_ @Steve03343829 @itsgabrielleu @NRA @DLoesch What about all the shootings in Chicago? They have strict gun laws. Could it be that criminals being criminals just break the law? Not one school shooting was done by a NRA member.  You are clueless.,"Pace, FL"
@realDonaldTrump Thought u were going raise the age you lied about the guns and doing tariffs will hurt us workers too donot promise what u donot keep that is called lying,"Cedar Rapids, IA"
@SpeakerRyan @POTUS @VP Will the NRA join you? Perhaps they can sell guns to the Irish. #NRABloodMoney #NRATerroristOrganization,"Mount Pleasant, SC"
Boobs Guns Freedom Beer Trump,"Baton Rouge, LA"
Speaking of the NRA my cap came today. I'm proud to be in that fraternity. https://t.co/An6tnDD9pJ,"South Carolina, USA"
@SimoneSanner @SingAtTheTable @LukeRussell1281 @davidhogg111 So we should limit how citizens can protect themselves should our government become hostile? Or we should limit ourselves while murdering criminals keep their illegal guns? See my issue?,"California, USA"
I think the purpose of having children at school is to teach them how to think ... not to walk or talk or walk and talk. https://t.co/yqUBGH955F,"Dallas, TX"
Is there ANYONE how can shut this #Goober #RossGerber UP?!!? https://t.co/S3c7zuGehR,"Timberwood Park, TX"
"Guns i was with had him as high as 100, but Grant’s report is on point. https://t.co/vXt8uoF3Zb","Surprise, AZ"
Gabrielle Union ... https://t.co/Kw1DTjvY60,"Indianapolis, IN"
@MSNBC @AliVelshi Train the teachers that want to train the ones that don't shut up &amp; they don't have to! Veshi radical smart mouth rude to those who disagree ! Velshi don't have a clue ! Kids know more about guns than adults! Adults stupid today kids can't stand your ignorance!,"North Carolina, USA"
"Her name is Gabrielle Union and she is more than DWade’s beautiful wife. She is an actress, author, mother, survivor and all around BLACK GIRL MAGIC! @itsgabrielleu https://t.co/p0bXrooB0w","Florida, USA"
"Seems ""educators"" are up in arms (sorry!) about Trump's school safety component of arming some school staff.  Seems those who oppose it are most likely Dumbocraps and firmly believe firearms are the problem (like SPOONS cause obesity!). Trump is not REQUIRING anyone be armed.","Eugene, OR"
Give all those rights up to the government. Give them total control of your life. Guns give us control so they don’t run our lives. Not sure why you can’t see that. It’s the only leverage we have over the government. Talk to the ppl sitting in jail in the UK for tweeting. https://t.co/9UJKULwQD3,"North Augusta, SC"
"Damn, went to go look into buying an AR-15 and they are all out of stock and keeping going fast every time they get shipments in which does not surprise me cause all this gun control talk is freaking good people out and they are getting them while they can.","Greenwood, IN"
@BetsyDeVosED @FoxNews @PressSec @KellyannePolls BETSY DEVOS IS MORE OF A THREAT TO SCHOOLS IN THIS  COUNTRY THAN GUNS.,"Johns Creek, GA"
#BoycottNRA https://t.co/3umg2u8uaJ,"Westminster, LA"
Wife???? Stop playing like y'all didn't know her name name https://t.co/NIb5hxndQY,"Michigan, USA"
"SHS is claiming that Obama didn’t do anything. Yeah, he had the same Republican/NRA problem that we have today. You’re spinning lies, SHS! https://t.co/k0JXoNs308","Glasgow, MT"
@jeffreycombs @tedlieu @MalcolmNance @DLoesch Sigh! Another liberal screaming for gun control who doesn’t have a clue about any guns! 🙄,"Florida, USA"
@blazingxmexican And Gun control!!!,"Grapevine, TX"
@SenateGOP But DeVos though! https://t.co/bJRlJEL5EI,"Berkeley, CA"
@WhiteHouse Watch it here: https://t.co/bJRlJEL5EI,"Berkeley, CA"
@terib3294 @joangreeneaz @UFMechEngy Guns are for killing people.  Not for protection,"Phoenix, AZ"
Gun-Control Activist Finds Picture of Scary Gun Silenced After Learning What She Really Posted https://t.co/Egq6lTlh8a,"Fullerton, CA"
@Lincolneigh @MSNBC @AliVelshi When it becomes law you'll understand in case you're planning on sneaking in the door with a gun lefty/hefty ! NRA don't play nor do they joke about guns or the life of children! Pu that in your Pot PIPE &amp; smoke it !,"North Carolina, USA"
"He listens to all sides? Have you ever seen him? He listens to NOBODY but himself talkin..... if this was true guns would be controled, pot would be legal, daca would be signed, let me think.....naw you are a LIAR https://t.co/3D91NMOjYX","Texas, USA"
You Could Be Mine by Guns N’ Roses is forever a classic,"California, USA"
"Russian bots &amp; the NRA both want to divide America on guns. The truth is America is not divided on gun reform. Congress is to blame &amp; until we vote them out, window dressing is all we are going to get. November can't come soon enough.#NeverAgain #GunReformNow #NRAKillsKids","Virginia, USA"
Cuz more guns make us more safe😠,"Sunrise Manor, NV"
@TheRickWilson I want my plastic guns. Thanks Gipper,"New Jersey, USA"
@realDonaldTrump 👇 https://t.co/XMerm7n9Jj,"Harrison, AR"
"When government doesn't trust citizens with guns, they have evil plans--George Washington https://t.co/1Fa4jyTN6b","Phoenix, AZ"
"@ndawg_4 Haven’t looked at any, there are a few local gun shops called Point Blank that have an awesome selection of guns","Greenwood, IN"
"My girl didn’t deliver one of the most scathing monologues, and my favorite,  as a health inspector in “Deliver of from Eva” to be called “wife”, her name is Gabrielle Union bitch! @ her next time @itsgabrielleu https://t.co/cNcoDSKHnk","Kansas City, MO"
"get your bb guns staoking up. so when they bcrub gun laws its because communism is in the works somewhere.
 lets get  bows and arrowasm and pray for socializing... building up the military  means 'somethings up"" ~just old","San Jose, CA"
Rick Scott has just set the stage for an increase in the rate of teacher suicides in FL.  This will not make children safer. https://t.co/mopUmlY0xf,"Noble, OK"
America has 1/2 the guns owned privately in world &amp; it ⬆gun violence rates/In EU knife wielders R usually not killed like in U.S but skillfully subdued #PoliceTraining inadequate #veterans #PTA #MarchForOurLives #Millennials #MeToo #p2 #AARP #tcot #ccot #BLM #LatinoAmerica https://t.co/20bMipjaQF,"Oak Lawn, IL"
@GrantJKidney @GreeneyedMinx2 The poster child for why we love our guns.,"Santa Fe, TX"
"@realDonaldTrump @POTUS @WhiteHouse YOU SAT THERE &amp; LIED TO THOSE GRIEVING PARENTS &amp; STUDENTS &amp; SAID THAT YOU HEAR THEM &amp; THAT YOU WERE GOING TO BE THE ONE TO PUT A STOP TO THE KILLING! YOU ARE A LYING COWARD, AFRAID OF THE NRA! RAISE THE AGE &amp; BAN ASSAULT RIFLES! https://t.co/11Bfp8FiWY","Kansas City, MO"
I haven’t been to a Hollywood production in over 3 years. Screw em in their pocketbook. https://t.co/iK6bcPymWH,"Paso Robles, CA"
Good God this is frightening! 😱 https://t.co/pQNL9JN703,"Harrison, AR"
"@pastorpaul62 @JCali1967 @DLoesch Drugs kill people guns kill people. If what you are 'dealing' kills people, then your gains are ill gotten. Everything else is just semantics. Or do you really not understand the difference?","San Tan Valley, AZ"
"@chopperdave1776 @JoeMill01000948 That's because lots of democrats have guns.  We have guns..legally purchased, registered &amp; permits to carry. What we Don't have, need or want is a AR-15 because we Don't plan on killing anyone...MORON https://t.co/z72FjrN41x","California, USA"
"DUMPTRUMP,  DUMPTRUMP.Make our day. https://t.co/uHiqp6Tt9p","Farmingville, NY"
"@President1Trump @Biker_Bot1 Can't put age limits on buying guns. These 18 yr olds are qualified for military service. No go on age limits. We need less gun laws ,not more.Criminals aren't affected by laws anyway.","Houston, TX"
"Sitting at the social security office a little bit ago. Old white guy decided to talk about guns, killing people over how they train their dogs and yelling boom over and over. Wife spoke up when he started deriding Mexicans. #ignorance","Vista, CA"
"@jlwesterfield Given that the military is in my area, I wouldn't be bold enough to try to rob somebody, or pull a gun on somebody. Because, people are strapped in all around me. It doesn't make me safe, it doesn't make me in danger. These people are military and know how to use and store guns.","New London, CT"
"EdSec @BetsyDeVosED is what happens when a person is insulated from the real world by $, so much that they’ve lost all capacity for shame. https://t.co/S7P05iOIX9","New Orleans, LA"
"How many commissions do we need?  Dust-off old ones. Just do it.  It can be modified later. If you tell Congress, @POTUS will get what he wants. There’s enough support.  PS the fed deficit rose $120 billion, @POTUS. https://t.co/nXeO8T0SY3","Northumberland, PA"
When we going to start seeing some blame for the guy who shot the guns and kill the kids and the adults in Parkland shooting also hear about of the guns when I going to hear about the guy who killed these people and start blaming him https://t.co/JH71BtknaR,"Lee's Summit, MO"
This news is from Nigeria and American that think that guns are the problem to school killings. No guns are allowed in Nigeria but this mentally unstable man was able to kill two school children. The problem is mental health than guns. https://t.co/qId0GmIelS,"Upper Darby, PA"
@ColumbiaBugle @realDonaldTrump Right! God for guns and the Patriots!,"Tulsa, OK"
"@foxandfriends @WhiteHouse STOP BLAMING GUNS/PUT THE ONUS WHERE IT BELONGS: INEPTITUDE OF FBI CHIEF &lt;SMUG PUKE&gt; Christopher WRAY—&amp; BROWARD’S MUSLIM-LOVING COWARD, SHERIFF ISREAL! STOP CHIPPING AWAY AT OUR RIGHT TO BEAR ARMS &amp; PUNISHING RESPONSIBLE GUN OWNERS! ENOUGH!🐘🍀🐘","Doctor Phillips, FL"
Private gun ownership makes all safer and the cops are super competent good guys. Also the Easter Bunny is real. https://t.co/M3MWunP5B4,"Anchorage, AK"
Your speeches should be FILLED with folks packing then. https://t.co/vUwbm3Uszz,"Arkansas, USA"
Gun control would help right? #BadPeopleDoBadThings https://t.co/IX3181MCKH,"Kenosha, WI"
"Real talk, home school your kids if this becomes law. https://t.co/cZ0mP5zjRu","Palm Desert, CA"
True. https://t.co/YiGfuSA86d,"Conroe, TX"
"@_WhyzGuy_ Translation: they will ditch the lame Viking cosplay shields, and show up in body armor with guns. Watch.","Baton Rouge, LA"
Trump's Retreat On Guns Is The World’s Least-Shocking Surprise - HuffPost ~ #TrumpTreason  https://t.co/QlvU9E7Wlk,"San Diego, CA"
@Lawrence Not so much in Texas! We get Guns instead !,"Euless, TX"
#FACT #Gunsense https://t.co/xWN0wEpfjQ,"Detroit, MI"
@RedNationRising Anyone see a connection here between giving up guns and loss of Freedom?,"Upper Grand Lagoon, FL"
"You’re getting famous and rich off your classmates deaths, kid. https://t.co/YElsDjqu2L","Texas, USA"
Or maybe Democrats fell asleep waiting for the Republican controlled Congress to get real and deal with issues like gun control and DACA. https://t.co/DXIUyJ4q5V,"Massachusetts, USA"
"How can the #Liberals control guns when they can’t control themselves.
#GUNviolence #GunControl #nra #Liberal #LiberalPolicies #media #ar15 #AssaultWeapons","Wesley Chapel, FL"
"@realDonaldTrump Well, you should know. You’re an expert on cowardice, Cadet Bonespur. 🙄 https://t.co/RFBaF31qq0","Virginia, USA"
"@lf092313 @johnpavlovitz @realDonaldTrump If trump wants to turn this country into dictatorship, he will first confiscate all guns, rifles etcThat's what dictators do! The public will not be allowed to own weapons to defend themselves against the government. That's what they did in Nazi germany,in USSR, North Korea etc,","Los Angeles, CA"
"Add'l confirmation and historical context--research by me, Mark Hersey, and others on early 20th c. game law clearly shows new policy of that era was aimed at keeping guns out of black hands: ""Gun rights are about keeping white men on top"" https://t.co/EJWx8QiR9s by @nwuertenberg","Carrollton, GA"
Trump just lies to any group he his talking to at that point in time. He does the same thing over and over again. https://t.co/MaxPBdKFqC,"Virginia, USA"
"@krassenstein @ManitouDorota Edpecially trump, if pence or ryan or one of them creeps were potus they would never even utter the words"" make changes re gun laws""....makes no diff with trump, we all know that 30 mil will speak the loudest ultimately","St Paul, MN"
TONIGHT: ‘Guns in Schools’ Town Hall Meeting at 7pm at Old School Square Gym. All students… https://t.co/CHllKf6FzC,"Delray Beach, FL"
"Add'l confirmation and historical context--research by me, Mark Hersey, and others on early 20th c. game law clearly shows new policy of that era was aimed at keeping guns out of black hands: ""Gun rights are about keeping white men on top"" https://t.co/EJWx8QiR9s","Carrollton, GA"
Take everyone's guns. It's what you want. Not one Informed American #TRUSTS YOU https://t.co/n64Xpb7ghz,"Schenectady, NY"
@SenFeinstein Guns don’t kill people people with guns kill people!! If someone wants to kill you they’ll find a way !!! https://t.co/OcamMUiOh0,"Alda, NE"
"@Rodscowboylife @FoxNews @realDonaldTrump Rod, u don’t understand the constitution. There’s nothing that says there can’t be age limits just like convicted felons can’t own guns.","Eau Claire, WI"
Dang #PAVoters seems to be in a lose lose situation with that special election Dem #connerlamb supports the stupid tariffs and does not support Pelossi and oppose stricter gun laws Rep  #Saccone is a hard trump supporter... seems they’d both support trump??,"New York, USA"
"@piersmorgan @trumps_feed But other than gun control you still think he's the greatest, amirite? We don't really care what you think &amp; your nose is way too brown to comment on anything re: Trump. We know who he really is, you're still blind. But, hey, if you think he gives a damn what you think, goforit!","Charleston, SC"
"@WhiteHouse Can't have 21, OK.  Place of employment, date graduated and name of school or highest grade level of education and name of school.  Seller to verify, still in school and after chat with school supt. or equal decide.  That would help keep guns out of school.","South Sioux City, NE"
"Either U GET THESE GUNS OUTTA HERE, #ALLGUNSMUSTGO Or else this will be me every time folks get SHOT #FACT #BoyCottTheNRA #Gunsense 👇👇👇👇👇👇👇 https://t.co/fECPsCrzPX","Detroit, MI"
"I'm so tired of all these people calling for gun control laws. I can kill you with a knife just as easily as I can shoot you. It's a people problem, not a gun problem. This country needs Jesus, not more laws","Tennessee, USA"
@FreeBeacon Makes me want to buy more guns and more ammo,"Pontiac, MI"
@nowthisnews @MsOCHubbard What a low life scum bucket. The bookstore ppl should report him to the police &amp; FBI to take away his guns. He is obviously a very angry disturbed man.,"Maricopa, AZ"
"Just got a haircut in Jacksonville, Florida. 
While I was waiting for my friend to get his cut, yer man says I can go upstairs and check out the guns..........in the gun store. 

Jesus Christ.","Florida, USA"
@realDonaldTrump Teachers should not have guns in school,"Orlando, FL"
#BlindSquirrel https://t.co/H6c3o1zr60,"Grand Island, NY"
@FoxNews @Eminem @NRA Shut up.. Then get rid of your bodyguards that carrie GUNS.. MORON,"Denver, CO"
"@WhiteHouse Funny, you don’t seem very interested in schools, otherwise.  But suddenly there’s a chance of sticking some GUNS in there, and you’re all like, “oooh, SCHOOLZ! 🤪”","Sonoma, CA"
Believe it or not we all have that lofty goal.  Rid evil. https://t.co/CFPI6T3yVd,"Troy, MI"
@krassenstein We are officially spineless can’t go to Walmart without our guns chicken shits!,"Madisonville, KY"
#StopMrsNRA https://t.co/j6mLTzwlfN,"Wekiwa Springs, FL"
@TheLeadCNN Having teachers have guns in school is not the way to help with this issue.,"Orlando, FL"
"@TheLeadCNN @AlessandraKUSA There’s 31 million rea$ons Trump will do next to nothing if anything at all, about gun control. https://t.co/Hd8Xzs5aa2","Thousand Oaks, CA"
@AdamParkhomenko Can you please explain why we always go back to President Obama that is in the past this is the present be the president who does something about gun control don't talk about the past you'll never be President Obama stop trying,"Philadelphia, PA"
"@TheAirIsHeavy @realDonaldTrump They bummer took all the weapons away from our soldiers on bases. They are not allowed to carry. Dems are so smart. With is is, and gangs around with guns killing innocent people but our military cannot, dems are trying to take everyone's gun away, criminals will have weapons.","Georgia, USA"
"@RepTedDeutch Sir, excellent bill to start, hopefully it will lead to better laws on gun safety","Lighthouse Point, FL"
trump hasn’t gone far enough with gun control.He wants teachers to carry guns.Not good enough!We should all carry guns!If you are attacked you can attack back!Worried about mistakes?We each get 3 https://t.co/WmNfRLPoaj criminal prosecution till #4!MAGA one bullet at a time!,"New Jersey, USA"
Tacoma Schools respects the First Amendment rights of students  who wish to participate in upcoming peaceful protests of school gun  violence. Read our Frequently Asked Questions: Protests and Walkouts https://t.co/Pl71LTh3pE https://t.co/D7xgvs51PF,"Tacoma, WA"
Do you know anybody who don't have some type of life issues? Or had them Lol that's the point https://t.co/V9m34spYK6,"Long Beach, CA"
"@davidhogg111 @Texit_Now This is a new low for the gun control movement.
Exploiting teenagers to further their agenda is disgusting.

Quit coaching and exploiting these kids.

Let them go back to school.","Ohio, USA"
"@jlwesterfield I agree. There are a lot of guns, and ammo that I'd really like to see off the streets.

We all get riled, but I do believe in the 2nd Amendment. But I also believe that we are in modern times with weapons never imaginable. This is why they left our constitution open 2 Amendment","New London, CT"
Join us for our first Maryville Moms Demand meeting. We have a guest speaker and snacks🙂 You don’t have to be a mom to be involved...it’s going to take all of us to fight for common sense guns laws in Missouri. @MomsDemand @Everytown  https://t.co/viSnfL0gSW,"Maryville, MO"
Now if we can find a way to make illegal aliens build our wall before dumping them into California... https://t.co/wsupJBgttQ,"San Antonio, TX"
"Know who's afraid of the NRA? Donald Trump.

https://t.co/9UrJwsZIAV","Lubbock, TX"
"@RF_P0TUS He'll find that Californians do not make love to our guns like the bible thumping south but when confronted on the streets, everyone is packing. No need to pound our chest like the cowardly NRA or #Trump","California, USA"
@realDonaldTrump Guns in school are not a deterrent. Strongest guns laws are a deterrent.,"Orlando, FL"
"@realDonaldTrump Who’s afraid of the NRA? Conceding to NRA, Trump Abandons Gun Control Promise - The New York Times https://t.co/Twd1XYZIN9","Austin, TX"
"@realDonaldTrump Gun registrants must check document on mental state, falsifing government application waives states rights thereby
Federal mandate.","Stagecoach, TX"
@Stump_12 Do you deny that a bullet from an AR-15 does more damage than a bullet from your average handgun? https://t.co/7AFodeEKQ6,"Enterprise, NV"
"@jeffreycombs Jeffrey, I'm a lifelong fan. Ok, We don't have to agree on guns but what are your thoughts on bipartisan school safety bill?","Pembroke Pines, FL"
"The food industry is responsible for way more deaths than guns every year, too much salt and sugar in our foods. #balance #sanowarfitness","Arlington, VA"
"@FifthDonkey @SubManUSN That argument doesn't make sense, I'm not shooting anybody not firing it into the air randomly my guns and I aren't putting anybody at risk","Fort Carson, CO"
This ... unfortunately ... is the truth https://t.co/BPrXhiE1EO,"Charlotte, NC"
@realDonaldTrump Mr. President.  The age limit must be raised.  Serious Gun Control should be your legacy,"Staten Island, NY"
@essenviews Who pays for the training? Tax on guns and ammo?,"San Francisco, CA"
@GOP Wants to regulate &amp; control bathrooms &amp; vagina's but not weapons of war. https://t.co/U1XNCMf2YZ,"Oklahoma, USA"
Shocker. https://t.co/FHrbra6Z8C,"Staten Island, NY"
"Stupid heads U think Democrats want your guns because these assholes say so, Not true, but U can can bet Republicans R gunning  4 your SS https://t.co/NxYgB229bS","West Bloomfield Township, MI"
"@Davidhogg111 
@Emma4Change
@cameron_kasky
Who's suprised?  Who's afraid of the NRA after all his B.S.
 https://t.co/McqUe9NjKm","North Brooksville, FL"
Imagine that. 🤔 https://t.co/33WIbrg0pL,"Manhattan, NY"
"Conceding to N.R.A., Trump Abandons Brief Gun Control Promise https://t.co/C67HLaAgcT","Bardonia, NY"
"@lexforchange Please keep fighting. You’re right something needs to be done about the FBI &amp; Sheriff  Israel. They both need to be held accountable.

The Police could have stopped this crime. If they would have done their job, then no one would be trying to take guns away from citizens.","Five Corners, WA"
"@FunArtAndDesign @thehill Anyone that tries to  take our guns, rights an liberties is a traitor to the people of the United States and should be prosecuted ,!!God bless America !!!","Wamego, KS"
"@ABCPolitics @TheView @PressSec @realDonaldTrump @ananavarro @cnn -Trump talks out of two sides of his mouth.  He gets front of cameras with usual show “oh yes we are going to do this,raise age to buy guns; draft bill &amp; I will sign. Then he completely goes opposite direction. He is such a damn liar &amp; cheat.","Brooklyn, NY"
"I KEEP TELLING U DUMBFUCKS 2 MAKE GUNS NONEXISTENT LIKE THEY ONCE WERE BUT U REFUSE 2 DO IT SO WHENEVER PPL GET SHOT, IM NOT CRYING, NOT PRAYING &amp; WILL HAVE NO SYMPATHY NONE IMA LAUGH THAT'S WHAT THE FUCK IMA DO CUZ I TOLD U 2 GET THESE GUNS OUTTA HERE #Gunsense #GunReformNow😂","Detroit, MI"
"Get with the kids, America!!! https://t.co/GpdBOfrs1S","Guttenberg, NJ"
#ManUp #Guns down #leadbyexample #striveforgreatness #positivevibes #black #MMA #Kicks #Kicking… https://t.co/KAgPRDQtkN,"Atlanta, GA"
"@lauren_hoggs How about addressing all of the failures of FBI and Local Law Enforcement that would have prevented this tragedy in the first place, had the responsible agencies responded to the notifications of this crazy person's actions.
No, lets just attack guns &amp; the NRA.","Pittsburgh, PA"
"@BettyBlakley4 @StopPC101 @realDonaldTrump @POTUS @NYCMayor @Shareaholic As @Potus bows to the @NRA, it is up to us to back the students who dared to fight back against “thoughts and prayers” instead of #action against gun violence. #NRABloodMoney 
.
https://t.co/6MCAPwNLr5","Los Angeles, CA"
"Another mass shooting in Fla  ... To all of you who are against common sense control - we’ve been doing it your way for awhile. It ain’t working. Let’s put some real gun control measures in place, with the caveat that if # of mass shootings don’t decrease in 2 years, laws revert","Virginia, USA"
"The solution to too much debt, is not, acquire  more debt.  The solution to gun violence, is not, acquire more guns. The solution to being naked is not more nakedness, or is it? https://t.co/M80vbbYiGE","Norfolk, VA"
"@DavidHLoomis @NRA @realDonaldTrump Please send me a copy of the audits, I seem to have mislaid mine. The NRA does not simply stand for the rights of citizens to keep a rifle and a handgun. That was in the past. Now the NRA is focused on protecting the profits of gun manufacturers - Exposed!","Minneapolis, MN"
@CNN So this is where we are? The greatest nation in the world is now deliberately traumatizing children in school rather than regulate guns. This is unacceptable in a civilized society!,"Tampa, FL"
We’re the NRA and we love lying https://t.co/sYIwPdEMRz,"Denver, CO"
@LouBonomi @FoxNews @brookefoxnews Forget gun control. Let's get back to talking about building that wall.,"Pennsylvania, USA"
@true_pundit Yes I knew we'd see it We need serious gun powder control It needs to be totally eliminated,"Titusville, FL"
"Whatttttt!!!!! Is going on , how will these people be safe with all the thugs in that state https://t.co/tLeJNqa8xF","Pittsburgh, PA"
"SEE,THE PEACE KEEPERS WILL BECOME THE SONS OF GOD &amp; THE LORD https://t.co/j1lhBGYEKE,ALL YOU NON FELONS,SHERIFFS AND THE CROWNS LAW ENFORCEMENT HIRING FULL TRAINING DIPLOMA OR GED,REQUIRED.I WANT THE GUNS OFF THE STREETS WORLDWIDE.THE LORD GOD CHRIST JESUS THE SON OF GOD. https://t.co/4qvl0CcZHC","Metropolis, IL"
Maybe… he’s… afraid of them? https://t.co/zq5vwKUHW4,"Mission Viejo, CA"
And I’m sure he’ll expect us to believe that there was no re-election contribution tied to that decision! Corruption in its most blatant form https://t.co/1xMPKKSjh7,"Denver, CO"
"@MarcoSolo19 @ChrisCuomo No her and trump have similar policies anyway, they’re both centrist elites. They both care about GOD - Guns, Drugs, Oil and Big Banks + Big Pharma ... it’s all the same shit.","New Fairfield, CT"
@HindaRifka @DLoesch @CamEdwards https://t.co/3aDCvN6hYb,"Forked River, NJ"
"@jeff_gringo The nra’s goal is to divide us, and then sell guns to both sides. So yeah, fuck the nra","Parma, OH"
@Lrihendry Ever look at how many Dems own guns?,"La Vergne, TN"
"@realDonaldTrump: Donny your chaotic, unhinged mishandling of the gun control issue - vowing to fight NRA, ridiculing those who don't, meeting with NRA brass (repeatedly), backing down on changes NRA opposes - proves that you are not only incompetent &amp; crooked, you're crazy.","Princeville, HI"
"@realDonaldTrump You hate @CNN because it reports facts:  You're a wimp who's afraid of the @NRA!  
https://t.co/dwLb6Lg2Uw","St Petersburg, FL"
Whose afraid of the #NRA? https://t.co/g58Fgujb1K,"Seattle, WA"
@realDonaldTrump YOU HAVE FAILED WITH THE GUN LAWS! YOU ARE SPINELESS WHEN IT COMES TO THE NRA! YOU ARE AFRAID OF THEM! YOU NEEDED TO GROW BALLS! YOU CAN'T EVEN DO THAT CORRECTLY! MAGGOT PUT THEM BEFORE THE KILLINGS OF CHILDREN! THE NEXT MASS SHOOTING WILL BE AS IF YOU PULLED THE TRIGGER! THANKS!,"Queens, NY"
"If you have any doubt that @BetsyDeVosED is completely unqualified, I'm glad you woke up from your coma! https://t.co/KsdlH10e5B","Los Angeles, CA"
abc7NY #YouCanStopThe nuts from getting guns#ThenTheyStart leaving bombs,"Spring Valley, NY"
"Gun advocates: Gun control fails every single time, look at chicago”
Gun reformers: “name one other time, go ahead I’ll wait and while I’m waiting I’ll list all the times it’s worked.” Don’t worry you’ll have plenty of time this is a long list...”","Rockville Centre, NY"
@TheLeadCNN Damn! I thought trump was finally stepping up! Calling out senate and house losers... um I mean leaders ...for being afraid of the NRA! Going to raise the age of being able to buy guns to 21! Not enough... but yes! ... Finally! Of course... he was deflecting... loser!,"Davenport, IA"
#NeverAgain https://t.co/se7G43KdtU,"Texas, USA"
"Shout out to @CrazyMonkeyStu for the line ""I'm making America great again!"" whenever you kill a Nazi in Guns, Gore, and Cannoli 2. 

I SEE WHAT YOU DID THERE! 

I'm certain that @machinegames would send their regards if they knew.","Ypsilanti, MI"
@realDonaldTrump I see the NRA has gotten to you and you are backing down on gun control. You are such a wuss.,"Pennsylvania, USA"
"@HariSeldon2100 @salty_dawg69 @washingtonpost Basically everyone on the right has been going at that kid for the last two weeks. I was a little shocked by it at first, then I remembered these are republicans were dealing with here. They’re like a pack of angry honey badgers that REALLY love guns.... like a lot.","Henrietta, NY"
Little known fact: 100% of school shootings happen… at school. https://t.co/Clt5e5YKHQ,"Mission Viejo, CA"
I hate guns so much,"Raleigh, NC"
