tweet,location
"Hangin' with the goodie-goodies loungin' in paradise
Fuck that shit, I wanna tote guns and shoot dice
All my life I been considered as the worst
Lyin' to my mother, even stealin' out her purse https://t.co/r2QQ6ACOXz","Copperas Cove, TX"
@ananavarro @FLGovScott Are you the Queen of compromise?  More guns equals more gun related deaths. That is not a compromise. That is the far right feigning a compromise.,"Newton, MA"
"@NBCNews @joshtpm Unsurprising. 

cc/ 
@apple
@tim_cook 
Are you sure you want to continue to give the NRATV a platform to disseminate NRA propaganda and promote gun sales? The NRA has no interest in meaningful gun control. This strikes me as totally contrary to Apple’s values.","Oakland, CA"
Finally ! https://t.co/T4KfMyE4ol,"Houston, TX"
"@nra will be remembered by history as an organization that lost its way in 1970 as it formed into a terrorist movement by the turn of the century. 
I vow to fight their call for violence. #NeverAgain #MarchForOurLives #MomsDemandAction https://t.co/yxxj2Ct1pP","Tulsa, OK"
🙄 https://t.co/sd74sEnmkE,"Brooklyn, NY"
@NRA really ? Just stop how do you sleep at night oh I know with an AK15 #NeverAgain #GunReform https://t.co/oUsaG3KptT,"West Seneca, NY"
bye nigga https://t.co/1M9epycE0w,"Houston, TX"
"Thoughts and prayers NRA🙏
Now is NOT the time to talk about this❤️new law https://t.co/D4PsT9gmFt","Salem, NH"
https://t.co/QeOeoKPnRz,"Greensboro, NC"
"@Chris4943 @EdKrassen No disagreement. Schools are safest place for our kids.38-56 homicides per year,52 million students.Issue is we've radicalized gun https://t.co/zxmPfgAkZf just sued https://t.co/prx8WWzki9 destroyed NICS in https://t.co/QSNoXNLH05 $1K Colt and SW need the AR15 sales.","West Yarmouth, MA"
Terrorist organization #nra https://t.co/bHChMoMeMN,"Brooklyn, NY"
LOL https://t.co/AIYCz0Em9j,"Las Vegas, NV"
I believe the constitution says well regulated.  Hope this gets thrown out. https://t.co/adhvVuq5ou,"Greenville, KY"
Ted Cruz is spinning his lies on all the talk shows. He should be ashamed for lying https://t.co/Edq6HOIteQ,"Washington, USA"
"Eric Holder illegally smuggled guns to Cartels in Mexico. Supposedly to trace Cartel movements. Ended up getting Border Patrol officer killed with same guns. Eric Holder, real fart smeller. Yes I wrote that correctly. Although not PC. https://t.co/FYHyXLDSdC","Enchanted Oaks, TX"
@karlimichelle_ “People die everyday” ...in school shootings? A school shooting is a school shooting at any caliber is a serious event and the loss of a life is as well,"Lafayette, LA"
Why? No one is taking their guns away...u can still get a GD assault rifle! https://t.co/SguPkbEVSY,"Oxnard, CA"
#NRAISATERRORISTORGANIZATION https://t.co/i8FUwWjxte,"New York, USA"
@FriendlyRadical @lorrainekaack @FredCapolongo @SluvsO777 @Education4Libs Personally I don't care for guns but I still don't agree with discriminating somebody on age if it's legal to purchase it they should be able to purchase it and they have the proper permits,"Springfield, MA"
“People die everyday” ...in school shootings? A school shooting is a school shooting at any caliber is a serious event and the loss of a life is as well https://t.co/dQHHKw2wRK,"Lafayette, LA"
"🖕🏽NRA
#BanAssaultWeapons 🇺🇸 https://t.co/p0P6vYgmkz","Azusa, CA"
Another 🦇 shit crazy RWNJ! https://t.co/FHcfPeGue2,"Florida, USA"
Going from indifferent to hating the NRA. https://t.co/uH2FUnVCU4,"Marshfield Hills, MA"
So very frightening &amp; something Vets don’t need this either. May there please be resolution without loss of life! https://t.co/zxASwn7t6O,"Montclair, NJ"
"@dilemmv A bunch of states have the dumb teacher gun law. But it requires the school districts to request it, and none do because schools don't want guns","Fitchburg, WI"
🤣🤣🤣 https://t.co/09CLnr1KIl,"Charlotte, NC"
"Then we need to sue the NRA for promoting death by selling weapons of war to civilians 💯
#SuetheNRA🇺🇸 https://t.co/qXTP8RG8NP","California, USA"
"@TheTweetwit Due to increased firearms activity nationwide, Amazon has reduced the price of its ""small school size"" carton of thoughts and prayers to $29.99","New York, USA"
"@cwoolley06 Not me. Dont need gun control here. 
My Gun Control. 
Loaded or un loaded.","Enchanted Oaks, TX"
"Age of voting = 18
Age of firearms purchase (except handguns) = 18

I don’t think the NRA is advocating raising the voting age. https://t.co/KZrr1wzPtp","Ann Arbor, MI"
@NativeTexan74 @Alyssa_Milano @NRA Umm... The NRA does not sell guns.,"Fallon, NV"
"Hey, @NRA instead of suing Florida for  trying to protect people, why not do something useful and actually help prevent school shootings so we don't have to make such laws. Thanks babes. 
😙😙😙😙","Wisconsin Rapids, WI"
Guns blazing. https://t.co/ZyPLxob8ag,"Dade City, FL"
Jerks https://t.co/nEX9ZwNPxj,"North Carolina, USA"
#ConorLambForCongress https://t.co/tgSTBpJP0h,"Pittsburgh, PA"
Bite me. https://t.co/Q0Sg1YqzEZ,"Chicago, IL"
"@TigerWieseJones @MichaelSkolnik @Emma4Change wow that is a pretty freaking big list. and that's only school shootings.

want another mind blower?
all of those (and the others types) have only 1 common thing.
the one thing the NRA (or NRA programmed drones) won't point out.
all involved a gun.","Cleveland, OH"
Don’t these anti gun nuts understand that if they don’t trust themselves with guns they don’t have to own one,"North Carolina, USA"
the fight continues... https://t.co/lnGmaLhIvS,"Manhattan, NY"
"Fuck em, wait , why are y’all covering this fool anyways https://t.co/ucIfZU2Hcu","Houston, TX"
"Hang in there, kids.  My generation eventually ended Vietnam.  You CAN prevail. https://t.co/e3oJXtY934","Fort Mill, SC"
@russell22powell https://t.co/pQjpPl8Ofa,"Florida, USA"
Sorry asses https://t.co/P4NuaVy2F0,"Florence, SC"
"New Florida law would not have stopped Cruz school shooting.
Only armed school personnel in presence of children can stop a shooter who has already violated many local, state and federal gun laws and found a way into presence of defensless children. 
Keep 2nd Ammendment in force.","Mount Vista, WA"
Really girl? https://t.co/R0h72TVGE8,"Hampton, VA"
".We got you, baby girl☝🏾! #blackgirlsmagic https://t.co/ZJtzQFFEoh","Santa Monica, CA"
........i kinda thought being a state representative meant listening to the everyone...................... https://t.co/d3xqfpjjl9,"Houston, TX"
"Of course they did...

""NRA sues Florida to block new gun control law""

https://t.co/57gGOVlcan","San Diego, CA"
The NRA on Florida’s new gun laws @wsvn https://t.co/v1beRR8Z4D,"Tallahassee, FL"
"Last time I checked, a crayon never murdered 17 students and teachers in cold blood🤷🏼‍♂️ https://t.co/gD5SZRqUtZ","Franklin, MA"
Goooooood https://t.co/xEioR5bckR,"Los Angeles, CA"
"@LevineJonathan And the “adults” are really wise and doing a great job! That’s why the children are dying. We act like spoiled children, kicking and screaming about the guns. Well my money is on the children because they have exhibited wisdom and courage in the face of the terrorist, the NRA.","Solvay, NY"
"@tom_news2 @JulieAnnSilver @kerry_mccracken @funder So their guns make them American, being straight &amp; white makes them Christian...Tell that to God.","Farmington, UT"
Did the NRA file a lawsuit over the federal law which states that it is illegal for federally licensed dealers to sell you a handgun or ammunition for a handgun under 21? https://t.co/N8eDJfTzDv,"Covina, CA"
@TomiLahren Did Florida’s new gun laws go too far?,"Sunrise, FL"
@The_UnSilent_ @DLoesch You are actually putting kids in danger. Maybe this is an issue for Child Protective Services!            https://t.co/0j6SPSXtp1,"Pennsylvania, USA"
"So, what does this mean? Theoretically a court could say female teens in Florida could still buy guns but teenage men could not. 

#StonemanDouglasHS #StonemanDouglasHighSchool #NRAvBondi #Lawsuit","Washington, DC"
"Its less then ethicle,to take away American rights because of devious mindsets of whom ever.Or worse ,lack of trained oath takers

Florida Gov. Rick Scott signs gun bill https://t.co/VociAwB5bn","Winston, FL"
"This pic is disrespectful to our Flag! Not taking a knee! Making Guns a bigger right than life itself!
🖕🏽The NRA
#BanAssaultWeapons 🇺🇸 https://t.co/H4DOEpwb24","California, USA"
Hahaha fuck off @NRA https://t.co/Kad1enwYtj,"Orange, CA"
